date,description,category,amount
2024-01-03,Salary,Income,2500.00
2024-01-05,Grocery Store,Food,-52.30
2024-01-08,Rent,Housing,-900.00
2024-01-11,Electric Bill,Utilities,-65.40
2024-01-14,Coffee Shop,Food,-5.50
2024-01-18,Movie Tickets,Entertainment,-24.00
2024-01-22,Gas Station,Transport,-38.20
2024-01-26,Pharmacy,Health,-15.75
2024-01-29,Phone Bill,Utilities,-42.00
2024-02-03,Salary,Income,2500.00
2024-02-04,Grocery Store,Food,-61.10
2024-02-08,Rent,Housing,-900.00
2024-02-09,Gym Membership,Health,-30.00
2024-02-13,Electric Bill,Utilities,-71.00
2024-02-15,Concert Tickets,Entertainment,-85.00
2024-02-19,Gas Station,Transport,-40.50
2024-02-23,Clothing Store,Shopping,-120.00
2024-02-27,Phone Bill,Utilities,-42.00
2024-03-03,Salary,Income,2500.00
2024-03-04,Freelance Work,Income,450.00
2024-03-06,Grocery Store,Food,-58.90
2024-03-08,Rent,Housing,-900.00
2024-03-12,Electric Bill,Utilities,-69.30
2024-03-16,Restaurant,Food,-44.00
2024-03-20,Gas Station,Transport,-37.80
2024-03-24,Bookstore,Shopping,-22.50
2024-03-29,Phone Bill,Utilities,-42.00
