date,description,category,amount
2024-04-02,Salary,Income,3000.00
2024-04-03,Grocery Store,Food,-55.00
2024-04-05, Coffee Shop , Food , -4.50
2024-04-07,Electric Bill,Utilities,$82.00
2024-04-09,Concert Tickets,Entertainment,-95.00

2024-04-11,Mystery Refund,,25.00
2024-04-13,Rent,Housing,-1,200.00
2024-04-15,Gas Station,Transport,-forty
2024-04-17,Bookstore,Shopping,-19.99
04/19/2024,Phone Bill,Utilities,-42.00
2024-04-21,Restaurant,Food,-38.00
2024-04-21,Restaurant,Food,-38.00
2024-04-23,Freelance Work,Income,
